Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1933,2.02,1.9,6.2,4.16,7.1,2.5,5.85,1.97,5.27,1.28,1.16,2.17
1934,1.25,0.86,3.32,2.23,0.6,2.98,2.5,2.49,4.54,0.19,2.14,1.87
1935,2.33,0.2,3.49,1.54,6.97,4.66,3.16,4.99,3.98,1.01,3.56,1.84
1936,1.32,3.21,2.13,3.89,1.48,2.91,0.67,2.49,4.3,3.29,4.58,3.2
1937,8.05,1.68,1.47,4.27,1.58,3.69,5.37,3.46,3.28,5.59,1.94,3.77
1938,1,2.52,7.93,3.24,5.14,6.49,7.15,2.53,1.74,1.06,3.03,1.46
1939,5.33,2.97,3.03,5.74,0.88,5.67,7.2,2.91,1.17,2.93,1.15,1.13
1940,1.38,2.38,0.9,6.05,4.3,1.88,0.9,2.91,1.06,1.15,3.33,2.58
1941,1.68,0.66,1.12,1.91,1.12,7.03,1.21,1.4,1.94,7.19,2.22,1.58
1942,1.2,3.78,4.35,2.82,5.57,7.65,2.91,2.98,3.46,1.11,4.6,1.7
1943,0.65,1.01,3.3,1.74,10.1,3.29,3.02,2.42,3.26,1.37,1.94,1.05
1944,0.21,2.82,4.2,7.9,3.33,2.32,1.99,1.98,2.31,0.61,2.19,1.11
1945,0.57,2.59,7.76,5.11,4.15,8.12,4.06,2.8,5.61,2.04,3.19,2.49
1946,1.44,2.51,3.62,1.07,7.13,2.37,1.58,2.52,1,1.54,3.27,3.03
1947,4.06,0.37,1.95,5.82,3.91,5.67,2.33,5.22,3.45,2.44,1.44,1.61
1948,2.52,1.82,6.32,3.44,3.26,4.24,3.12,1.04,3.03,2.12,4.93,3.36
1949,7.41,2.38,3.16,1.62,2.75,4.18,2.95,6.64,2.52,4.25,0.89,4.32
1950,12.69,5.32,3.88,3.44,2.68,6.55,2.15,4.08,4.96,0.98,5.52,3
1951,2.95,3.76,3.16,3.26,2.78,5.77,3.12,2.43,2.39,3.28,5.21,4.68
1952,3.69,2.71,5.77,3.99,3.9,6.17,2.45,2.46,4.62,0.64,3.87,3.01
1953,2.57,1.93,5.41,3.18,4.5,4.86,6.19,1.76,1.44,1.7,2.29,2.42
1954,3.4,2.64,2.99,2.34,1.98,1.15,2.4,2.73,0.96,3.92,1.32,2.1
1955,2.09,2.34,2.26,3.31,3.37,1.79,5.24,1.21,6.01,4.27,5.32,0.7
1956,1.05,3.99,1.9,4.5,4.91,3.48,3.93,2.55,1.07,1.09,2.31,3.86
