Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1872,M,M,M,M,M,M,M,M,M,M,1.21,3.3
1873,2.53,4.05,3.73,2.89,6.05,4.49,3.37,2.96,1.6,5.47,1.92,4.48
1874,5.41,4.89,5.9,6.81,0.79,3.55,6.26,1.57,2.89,0.92,4.27,3.83
1875,2.61,3.12,6.18,2.06,2.43,4.16,11.22,0.62,1.72,2.37,5.87,3.68
1876,6.06,1.66,3.63,4.2,2.16,4.13,3.84,M,M,M,M,M
1877,M,M,M,M,M,M,M,M,M,M,M,M
1878,M,M,M,M,M,M,M,M,M,M,M,M
1879,M,M,M,M,M,M,M,M,M,M,M,M
1880,M,M,M,M,M,M,M,M,M,M,M,M
1881,M,M,M,M,M,M,M,M,M,M,M,M
1882,M,M,M,M,M,M,M,M,M,M,M,M
1883,M,M,M,M,M,M,M,M,M,M,M,M
1884,M,M,M,M,M,M,M,M,M,M,M,M
1885,M,M,M,M,M,M,M,M,M,M,M,M
1886,M,M,M,M,M,M,M,M,M,M,M,M
1887,M,M,M,M,M,M,M,M,M,M,3.02,2.71
1939,5.94,8.48,5.39,6.46,2,7.66,3.3,1.8,1.59,2.58,1.15,2.35
1940,2.31,4.68,6.07,4.81,5.36,2.98,3.42,3.32,2.59,0.55,3.59,3.24
1941,2.32,0.84,2.27,2.22,1.72,4.18,7.34,1.89,0.67,4.22,3.17,2.28
1942,3.38,2.82,4.11,3.11,3.38,5.72,8.16,7.26,2.96,3.54,5.72,6.59
1943,3.31,1.98,7.47,3.98,6.73,3.09,7.68,1.06,1.86,1.61,0.55,2.48
1944,1.95,3.67,5.29,4.21,3.49,1.58,2.77,6.22,2.41,1.88,1.6,5
1945,3.05,6.25,5.56,4.16,4.76,7.03,4.63,1.52,1.61,1.67,5.15,2.28
1946,2.87,4.26,4.44,0.79,6.71,5.33,5.84,3.6,3.14,1.84,2.03,3.31
1947,6.62,0.85,1.82,4.83,4.75,5.15,3.01,2.88,2.65,2.79,3.32,1.7
1948,2.58,4.93,7.06,7.5,3.56,2.26,3.57,2.61,2.06,3.29,6.19,4.73
1949,5.55,5.86,5.06,3.34,1.87,4.97,4.56,4.37,1.32,1.85,2.53,7.26
